wall_time,step,value
1759805170.649631,1,-122.94668579101562
1759805170.8766055,2,-116.9350814819336
1759805171.077455,3,-108.4111328125
1759805171.3468225,4,-133.09226989746094
1759805171.5545647,5,-168.54461669921875
1759805171.7491362,6,-158.56495666503906
1759805171.9628847,7,-153.41213989257812
1759805172.1554928,8,-156.5211944580078
1759805172.3637054,9,-182.02272033691406
1759805172.5818012,10,-183.9515838623047
1759805172.8061795,11,-193.88047790527344
1759805173.0557327,12,-187.65228271484375
1759805173.2948456,13,-182.896484375
1759805173.5306559,14,-186.89634704589844
1759805173.728774,15,-193.04074096679688
1759805173.9298732,16,-201.15956115722656
1759805174.1313033,17,-202.17544555664062
1759805174.3430407,18,-207.12559509277344
1759805174.53957,19,-201.90599060058594
1759805174.707374,20,-205.9784393310547
1759805174.899687,21,-205.23196411132812
1759805175.1229916,22,-205.1354522705078
1759805175.3451545,23,-203.44154357910156
1759805175.5364962,24,-201.6690216064453
1759805175.7415378,25,-197.9271240234375
1759805175.9487166,26,-199.64170837402344
1759805176.1388087,27,-201.99581909179688
1759805176.3553908,28,-203.1759490966797
1759805176.5688899,29,-201.50900268554688
1759805176.8152037,30,-198.6895294189453
1759805177.0468132,31,-195.5059356689453
1759805177.312342,32,-195.42782592773438
1759805177.5200968,33,-195.33694458007812
1759805177.757323,34,-192.1514892578125
1759805178.014398,35,-188.50405883789062
1759805178.2337968,36,-193.29843139648438
1759805178.4598505,37,-195.60220336914062
1759805178.6691859,38,-196.83067321777344
1759805178.9190931,39,-194.74717712402344
1759805179.1571407,40,-194.85069274902344
1759805179.3977656,41,-192.99179077148438
1759805179.719088,42,-190.12965393066406
1759805179.9485831,43,-188.2092742919922
1759805180.2089994,44,-183.5279541015625
1759805180.4683883,45,-181.22645568847656
1759805180.668914,46,-178.84710693359375
1759805180.895676,47,-182.53219604492188
1759805181.141481,48,-180.64306640625
1759805181.4331915,49,-178.87905883789062
1759805181.6401901,50,-178.06239318847656
1759805181.8790152,51,-178.0537567138672
1759805182.1389225,52,-178.27391052246094
1759805182.3609018,53,-183.01771545410156
1759805182.5998142,54,-180.9259033203125
1759805182.843092,55,-182.40554809570312
1759805183.0813923,56,-180.480224609375
1759805183.3164592,57,-180.62493896484375
1759805183.5650272,58,-179.01979064941406
1759805183.7975106,59,-177.6981964111328
1759805184.0352292,60,-175.96090698242188
1759805184.2776253,61,-174.6923828125
1759805184.5254016,62,-173.39501953125
1759805184.7754138,63,-172.34231567382812
1759805184.9986074,64,-171.99221801757812
1759805185.2831228,65,-170.4779815673828
1759805185.5322237,66,-169.42703247070312
1759805185.7729266,67,-169.204345703125
1759805186.045668,68,-167.41990661621094
1759805186.3094378,69,-167.50511169433594
1759805186.5483367,70,-166.81149291992188
1759805186.7778115,71,-165.9868621826172
1759805187.101992,72,-166.6145782470703
1759805187.4884284,73,-164.72476196289062
1759805187.759066,74,-163.35818481445312
1759805188.0605228,75,-162.8019256591797
1759805188.4077823,76,-162.21630859375
1759805188.7175384,77,-161.36854553222656
1759805188.9890518,78,-162.7003936767578
1759805189.2598848,79,-161.60910034179688
1759805189.570035,80,-160.96327209472656
1759805190.0433626,81,-160.0008087158203
1759805190.3346822,82,-157.68238830566406
1759805190.6166282,83,-156.6395721435547
1759805190.8594353,84,-155.3473358154297
1759805191.1191158,85,-154.65548706054688
1759805191.3576143,86,-153.98477172851562
1759805191.6700222,87,-152.92718505859375
1759805191.9301736,88,-152.50460815429688
1759805192.1952667,89,-152.09417724609375
1759805192.510557,90,-151.7978973388672
1759805192.8198607,91,-150.28163146972656
1759805193.1914518,92,-149.5447540283203
1759805193.5160205,93,-148.73951721191406
1759805193.9068375,94,-148.33694458007812
1759805194.2344472,95,-147.7189178466797
1759805194.6222966,96,-146.4888153076172
1759805194.945239,97,-145.57835388183594
1759805195.243902,98,-145.44863891601562
1759805195.540903,99,-144.75941467285156
1759805195.8399074,100,-143.940673828125
1759805196.1181743,101,-143.64236450195312
1759805196.5195096,102,-143.07325744628906
1759805196.8268664,103,-142.34373474121094
1759805197.1580145,104,-140.3233184814453
1759805197.459134,105,-137.56178283691406
1759805197.7494576,106,-137.26763916015625
1759805198.0741904,107,-136.64219665527344
1759805198.3756082,108,-135.6874542236328
1759805199.0921085,109,-133.76133728027344
1759805199.4057488,110,-132.6332550048828
1759805199.7553947,111,-130.34552001953125
1759805200.0494113,112,-129.4603271484375
1759805200.5004303,113,-129.5764617919922
1759805200.9123244,114,-127.79769897460938
1759805201.143037,115,-125.71366882324219
1759805201.4060762,116,-123.37895202636719
1759805201.8114667,117,-121.64850616455078
1759805202.1632893,118,-119.3573226928711
1759805202.4007018,119,-119.41342163085938
1759805202.8717253,120,-116.9701156616211
1759805203.1633248,121,-115.61262512207031
1759805203.4287086,122,-114.06521606445312
1759805203.8651528,123,-112.21300506591797
1759805204.2116845,124,-110.64521026611328
1759805204.4961827,125,-110.24105072021484
1759805204.8473856,126,-108.24224853515625
1759805205.297507,127,-105.83699035644531
1759805205.891308,128,-103.92578125
1759805206.139474,129,-103.14524841308594
1759805206.3968835,130,-102.69400024414062
1759805206.8704946,131,-101.9192886352539
1759805207.398485,132,-101.08381652832031
1759805207.7450123,133,-99.3877182006836
1759805208.1230514,134,-98.49474334716797
1759805208.3300483,135,-98.59199523925781
1759805208.6595821,136,-95.14752197265625
1759805208.9892035,137,-92.15113067626953
1759805209.4941838,138,-90.22591400146484
1759805209.8352036,139,-89.31481170654297
1759805210.2451463,140,-87.125
1759805210.7196949,141,-86.41500854492188
1759805211.1003997,142,-86.12732696533203
1759805211.331376,143,-85.73955535888672
1759805211.6561482,144,-86.51697540283203
1759805212.0558012,145,-85.48455810546875
1759805212.4744604,146,-85.09469604492188
1759805212.7760572,147,-82.2280502319336
1759805213.3306556,148,-81.95068359375
1759805213.6248827,149,-81.88267517089844
1759805213.8933768,150,-80.86639404296875
1759805214.2440085,151,-79.51766204833984
1759805214.719209,152,-77.81290435791016
1759805215.0416505,153,-73.6384506225586
1759805215.8117807,154,-73.21572875976562
1759805216.0817015,155,-70.71465301513672
1759805216.5815756,156,-72.01785278320312
1759805217.0569935,157,-70.49663543701172
1759805217.5993993,158,-69.80003356933594
1759805218.0467227,159,-69.17154693603516
1759805218.589936,160,-69.43916320800781
1759805218.861735,161,-68.61419677734375
1759805219.3803952,162,-68.217041015625
1759805219.8721244,163,-67.69023132324219
1759805220.3311536,164,-66.02970123291016
1759805221.104074,165,-66.29085540771484
1759805221.473911,166,-66.01651000976562
1759805221.7809567,167,-64.43960571289062
1759805222.0704334,168,-64.15422058105469
1759805222.4985485,169,-62.786643981933594
1759805222.8438914,170,-61.76898193359375
1759805223.432968,171,-60.821632385253906
1759805223.9340067,172,-59.04100036621094
1759805224.642829,173,-58.763790130615234
1759805225.271707,174,-58.89284896850586
1759805225.9354699,175,-57.99089813232422
1759805226.5197473,176,-56.894832611083984
1759805227.0997698,177,-56.233848571777344
1759805227.726728,178,-54.37676239013672
1759805228.4081886,179,-54.21550369262695
1759805228.8807669,180,-52.99369430541992
1759805229.3300426,181,-52.136924743652344
1759805229.683557,182,-52.552188873291016
1759805230.1073594,183,-51.467994689941406
1759805230.7587059,184,-51.682861328125
1759805231.4299648,185,-50.80790710449219
1759805231.9170706,186,-49.8214111328125
1759805232.3091352,187,-49.48994064331055
1759805233.0891283,188,-48.581764221191406
1759805233.8873203,189,-47.597721099853516
1759805234.661008,190,-46.90806579589844
1759805235.7368305,191,-49.38457107543945
1759805236.369712,192,-49.44850540161133
1759805236.8656933,193,-49.04302215576172
1759805237.8234744,194,-50.2696418762207
1759805238.288375,195,-49.614166259765625
1759805238.9554274,196,-51.7334098815918
1759805239.2506428,197,-51.68735122680664
1759805239.9100544,198,-50.31689453125
1759805240.415405,199,-49.85129165649414
1759805240.7922394,200,-49.5699577331543
1759805241.4051092,201,-48.72195053100586
1759805243.3758774,202,-48.77109909057617
1759805244.3073802,203,-51.100765228271484
1759805246.2663662,204,-51.158294677734375
1759805246.9730392,205,-50.665645599365234
1759805247.5652773,206,-50.147579193115234
1759805248.2057536,207,-50.168582916259766
1759805250.167474,208,-49.271915435791016
1759805250.689683,209,-47.763736724853516
1759805251.707249,210,-49.48505783081055
1759805253.673032,211,-48.70895767211914
1759805254.39414,212,-48.85018539428711
1759805256.3587654,213,-47.43657684326172
1759805256.737784,214,-46.702640533447266
1759805257.5326245,215,-46.30517578125
1759805259.4969373,216,-45.512794494628906
1759805261.4629865,217,-45.17684555053711
1759805262.2371714,218,-45.10062789916992
1759805264.2102907,219,-44.95725631713867
1759805264.4652054,220,-44.767967224121094
1759805265.2003484,221,-44.473270416259766
1759805267.179456,222,-44.10717010498047
1759805267.9318733,223,-45.2183837890625
1759805269.9131126,224,-44.98842239379883
1759805270.6601367,225,-45.03854751586914
1759805271.3522666,226,-44.64176559448242
1759805271.9467504,227,-44.40267562866211
1759805272.57401,228,-44.01849365234375
1759805274.8977568,229,-43.468109130859375
1759805275.5871084,230,-43.048744201660156
1759805277.6131487,231,-42.834930419921875
1759805279.5836153,232,-43.307552337646484
1759805281.6208246,233,-43.08310317993164
1759805283.6617253,234,-43.55707550048828
1759805285.7033603,235,-42.562782287597656
1759805287.75026,236,-42.343318939208984
1759805289.8065085,237,-42.45863723754883
1759805290.6664765,238,-42.593910217285156
1759805292.700033,239,-42.34626770019531
1759805294.74187,240,-42.82984161376953
1759805295.6351826,241,-43.28352355957031
1759805297.6792932,242,-43.085636138916016
1759805299.7202983,243,-42.25644302368164
1759805301.764145,244,-41.840843200683594
1759805303.8179963,245,-41.377750396728516
1759805305.861894,246,-41.05205154418945
1759805307.9045246,247,-40.233642578125
1759805309.961966,248,-39.158145904541016
1759805312.00693,249,-38.74311828613281
1759805312.9254277,250,-39.05951690673828
1759805313.8263516,251,-39.83527755737305
1759805316.009683,252,-40.03498840332031
1759805318.5570288,253,-39.694400787353516
1759805319.4263303,254,-40.354042053222656
1759805321.5232332,255,-39.84947204589844
1759805323.6184943,256,-37.65702438354492
1759805323.903663,257,-37.26408004760742
1759805326.0136063,258,-37.547950744628906
1759805326.604115,259,-37.61769485473633
1759805328.7116444,260,-36.916831970214844
1759805329.5680287,261,-40.870243072509766
1759805331.6865802,262,-40.034175872802734
1759805332.7887292,263,-44.99605178833008
1759805333.6146693,264,-46.53458786010742
1759805334.5923674,265,-46.370826721191406
1759805336.7020223,266,-45.18185806274414
1759805338.8161204,267,-44.891929626464844
1759805340.9263303,268,-44.5986328125
1759805343.0447283,269,-43.97048568725586
1759805345.1602726,270,-43.624961853027344
1759805346.693947,271,-49.350990295410156
1759805347.05264,272,-57.80201721191406
1759805347.3508124,273,-58.881507873535156
1759805348.0380206,274,-60.779930114746094
1759805348.2937367,275,-62.64414978027344
